actor,opening night,show,wikipedia link,terminal school,school (2),relatives,theater credits,film credits,tv credits,screen credits before opening night,screen credits after opening night
Max Casella,1997,The Lion King,https://en.wikipedia.org/wiki/Max_Casella,didn't go to college,,,,34,30,12,52
Melanie La Barrie,2022,& Juliet,https://en.wikipedia.org/wiki/Melanie_La_Barrie,didn't go to college,,,12,,,2,0
Mia Sinclair Jenness,2023,Grey House,https://en.wikipedia.org/wiki/Mia_Sinclair_Jenness,didn't go to college,,Emily Bauer (mother),1,,,0,0
Michael Berresse,1996,Chicago,https://en.wikipedia.org/wiki/Michael_Berresse,didn't go to college,,,19,5,,0,5
Millicent Simmonds,2023,Grey House,https://en.wikipedia.org/wiki/Millicent_Simmonds,didn't go to college,,,1,4,2,6,0
Neil Haskell,2015,Hamilton,https://en.wikipedia.org/wiki/Neil_Haskell,didn't go to college,,,,1,1,0,2
Neil Patrick Harris,2023,Peter Pan Goes Wrong,https://en.wikipedia.org/wiki/Neil_Patrick_Harris,didn't go to college,La Cueva High School,,18,32,79,108,3
Ramin Karimloo,2022,Funny Girl,https://en.wikipedia.org/wiki/Ramin_Karimloo,didn't go to college,,,38,10,4,12,1
Ryan Steele,2023,Once Upon a One More Time,https://en.wikipedia.org/wiki/Ryan_Steele,didn't go to college,,,6,3,5,8,0
Sahr Ngaujah,2019,Moulin Rouge! The Musical,https://en.wikipedia.org/wiki/Sahr_Ngaujah,didn't go to college,,,7,17,11,24,3
Sam Clemmett,2018,"Harry Potter and the Cursed Child, Parts One and Two",https://en.wikipedia.org/wiki/Sam_Clemmett,didn't go to college,,,6,6,6,8,4
Sophia Anne Caruso,2023,Grey House,https://en.wikipedia.org/wiki/Sophia_Anne_Caruso,didn't go to college,,,11,3,5,6,0
William Youmans,2003,Wicked,https://en.wikipedia.org/wiki/William_Youmans,didn't go to college,,Vincent Youmans (great-uncle),34,3,4,5,2
Taylor Trensch,2023,Camelot,https://en.wikipedia.org/wiki/Taylor_Trensch,Elon University,,,20,,,0,0
