actor,show,wikipedia link,terminal school,school (2),relatives,film credits,tv credits,theater credits
Geraldine Hughes,"Harry Potter and the Cursed Child, Parts One and Two",https://en.wikipedia.org/wiki/Geraldine_Hughes,"University of California, Los Angeles",,,12,11,9
Danny Burstein,Moulin Rouge! The Musical,https://en.wikipedia.org/wiki/Danny_Burstein,"University of California, San Diego","City University of New York, Queens",,22,41,27
Howard McGillin,Parade,https://en.wikipedia.org/wiki/Howard_McGillin,"University of California, Santa Barbara",,,,,21
Poppy Miller,"Harry Potter and the Cursed Child, Parts One and Two",https://en.wikipedia.org/wiki/Poppy_Miller,University of Cambridge,,,5,23,1
Betsy Wolfe,& Juliet,https://en.wikipedia.org/wiki/Betsy_Wolfe,University of Cincinnati College-Conservatory of Music,,,4,2,22
Karen Olivo,Moulin Rouge! The Musical,https://en.wikipedia.org/wiki/Karen_Olivo,University of Cincinnati College-Conservatory of Music,,,,,17
Kristy Cates,Wicked,https://en.wikipedia.org/wiki/Kristy_Cates,University of Cincinnati College-Conservatory of Music,,,,,9
Lewis Cleale,The Book of Mormon,https://en.wikipedia.org/wiki/Lewis_Cleale,University of Miami,,,,,18
Lorna Courtney,& Juliet,https://en.wikipedia.org/wiki/Lorna_Courtney,University of Michigan,,,,,5
Brooke Dillman,Once Upon a One More Time,https://en.wikipedia.org/wiki/Brooke_Dillman,University of Missouri,,,13,38,
Adrianna Hicks,Six,https://en.wikipedia.org/wiki/Adrianna_Hicks,University of Oklahoma,,,,,10
Adrianna Hicks,Some Like It Hot,https://en.wikipedia.org/wiki/Adrianna_Hicks,University of Oklahoma,,,,,10
Quentin Earl Darrington,MJ The Musical,https://en.wikipedia.org/wiki/Quentin_Earl_Darrington,University of South Florida,,,,,9
Renée Elise Goldsberry,Hamilton,https://en.wikipedia.org/wiki/Ren%C3%A9e_Elise_Goldsberry,University of Southern California,Carnegie Mellon University,,12,33,12
Briga Heelan,Once Upon a One More Time,https://en.wikipedia.org/wiki/Briga_Heelan,University of Southern California,,,,,
Erica Dasher,Leopoldstadt,https://en.wikipedia.org/wiki/Erica_Dasher,University of Southern California,,,8,7,4
Stark Sands,& Juliet,https://en.wikipedia.org/wiki/Stark_Sands,University of Southern California,,,,,11
Conrad Ricamora,Here Lies Love,https://en.wikipedia.org/wiki/Conrad_Ricamora,University of Tennessee,Queens University of Charlotte,,4,4,9
Kelli Barrett,Parade,https://en.wikipedia.org/wiki/Kelli_Barrett,University of the Arts,,,,,7
Sara Topham,Leopoldstadt,https://en.wikipedia.org/wiki/Sara_Topham,University of Victoria,,,,,25
Sean Allan Krill,Parade,https://en.wikipedia.org/wiki/Sean_Allan_Krill,Wayne State University,,,9,,13
Michael James Scott,Aladdin,https://en.wikipedia.org/wiki/Michael_James_Scott,Webster University,,,,7,25
Michael James Scott,The Book of Mormon,https://en.wikipedia.org/wiki/Michael_James_Scott,Webster University,,,,7,25
Beanie Feldstein,Funny Girl,https://en.wikipedia.org/wiki/Beanie_Feldstein,Wesleyan University,,Jonah Hill (brother),8,15,2
Lin-Manuel Miranda,Hamilton,https://en.wikipedia.org/wiki/Lin-Manuel_Miranda,Wesleyan University,,"Luis A. Miranda Jr. (father)
Luz Towns-Miranda (mother)",22,36,15
Lauren Zakrin,Once Upon a One More Time,https://en.wikipedia.org/wiki/Lauren_Zakrin,Western Michigan University,,,,,14
James Naughton,Chicago,https://en.wikipedia.org/wiki/James_Naughton,Yale University,Brown University,David Naughton (brother),,,
Brian Tyree Henry,The Book of Mormon,https://en.wikipedia.org/wiki/Brian_Tyree_Henry,Yale University,Morehouse College,,0,17,7
Andrew Burnap,Camelot,https://en.wikipedia.org/wiki/Andrew_Burnap,Yale University,University of Rhode Island,,5,6,6
Neil Patrick Harris,Peter Pan Goes Wrong,https://en.wikipedia.org/wiki/Neil_Patrick_Harris,,La Cueva High School,,32,79,18
Adam Godley,Once Upon a One More Time,https://en.wikipedia.org/wiki/Adam_Godley,,,,16,46,17
Adam Jacobs,Aladdin,https://en.wikipedia.org/wiki/Adam_Jacobs,,,,7,3,9
Alex Newell,Shucked,https://en.wikipedia.org/wiki/Alex_Newell,,,,,,4
Alex Price,"Harry Potter and the Cursed Child, Parts One and Two",https://en.wikipedia.org/wiki/Alex_Price,,,,7,19,0
Alex Wyse,"Good Night, Oscar",https://en.wikipedia.org/wiki/Alex_Wyse,,,,,,15
